uid,org,work_location,certification,issue_date,type
06837A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-02-14,badge
06837A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Quality in Practice Badge,2019-08-31,badge
06837A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IGNITE Membership,2018-11-26,badge
06837A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Consumer Products Industry Jumpstart,2018-06-08,badge
06391C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials V2,2020-06-29,badge
06391C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation Essentials,2020-06-01,badge
06391C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-03-24,badge
06391C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-07,badge
06391C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM GBS - Business Services - Client Co-Creation,2019-11-01,badge
06391C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Quality in Practice Badge,2019-08-31,badge
06391C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2018-10-10,badge
06391C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2018-04-03,badge
06391C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Financial Markets Industry Jumpstart,2018-03-30,badge
011942781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Foundation,2022-06-23,badge
011942781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-03-11,badge
011942781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation Essentials,2020-06-02,badge
011942781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-04-02,badge
011942781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-04-02,badge
011942781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Consumer Products Industry Jumpstart,2018-04-05,badge
011942781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-07-05,badge
001793781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Analysis Using Python,2022-12-07,badge
001793781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2022-12-07,badge
001793781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",XP Farm - Beginner XP Developer,2022-11-29,badge
001793781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Trustworthy AI and AI Ethics,2022-05-26,badge
075903781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-02-14,badge
080676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2021-06-11,badge
080676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Be Leadership,2021-05-26,badge
080676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-04-03,badge
107821781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-05-18,badge
107821781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-04-28,badge
07998D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",XP Farm - Beginner XP Developer,2022-11-29,badge
07998D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-10-28,badge
07998D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",P-TECH Mentor,2021-10-27,badge
07998D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Salesforce Essentials,2021-10-26,badge
07998D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2021-04-24,badge
07590B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-02-08,badge
07590B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-07-03,badge
000150781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Containers & Kubernetes Essentials,2022-12-28,badge
000150781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2022-08-26,badge
000150781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Methodology Explorer,2022-07-28,badge
000150781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Business Analytics for IBM Systems,2021-11-29,badge
000150781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private Installation and Configuration,2021-08-03,badge
000150781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Co-Creator,2021-05-24,badge
000150781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Service Management and Operations - Advanced V2,2021-02-03,badge
000150781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Method for Cloud Advocate,2021-01-29,badge
000150781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Service Management and Operations Explorer,2021-01-25,badge
000150781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-01-06,badge
07986C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-07-10,badge
07986C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2018-07-12,badge
07986C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-31,badge
07986C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-03-26,badge
001794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2022-04-23,badge
001794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2022-04-05,badge
001794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation: Compass,2021-04-14,badge
001794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-04-07,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-12-20,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Accessibility Advocate,2022-12-19,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Santander Universidades,2022-12-15,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Prototype - Data Science Santander Universidades,2022-12-15,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Academic Ambassador Advocate,2022-10-19,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers Engagement Award,2021-07-21,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-09-07,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Tools for Data Science,2020-08-14,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Orientation,2020-02-21,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Artificial Intelligence Essentials,2020-01-02,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","Oracle Certified Associate, Java SE 8 Programmer",2017-08-04,badge
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Introduction to Artificial Intelligence (AI) (03 Jan 2020),,external certification
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Office 2016 (01 Mar 2018),,external certification
080663781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Associate Java SE 8 Programmer (01 Jul 2017),,external certification
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Advocate Essentials,2022-11-14,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",LFS261: DevOps and SRE Fundamentals - Implementing Continuous Delivery,2021-12-01,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Operating Kubernetes on IBM Cloud,2021-06-14,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",App Modernization Basics,2021-05-12,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Native Security Conference - DevSecOps,2021-05-04,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM DevSecOps Explorer - Security & Automation for DevOps,2021-04-18,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",PagerDuty Foundational Practitioner Certification,2020-09-16,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-04-29,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2020-04-18,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-03-30,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2019-09-27,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Getting started with Microservices with Istio and IBM Cloud Kubernetes Service,2018-11-03,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM MQ Developer Essentials,2018-10-22,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM MQ Developer Essentials,2018-10-20,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Systems Foundations v1,2018-08-12,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-05-09,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2018-04-10,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Get started with Kubernetes and IBM Cloud Container Service,2018-04-04,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2018-03-05,badge
070683781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Developer Bootcamp,2016-07-05,badge
104025781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-01-24,badge
104025781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-01-17,badge
104025781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson and Cloud Foundations,2021-02-08,badge
071016781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-19,badge
071016781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-12-19,badge
071016781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-22,badge
071016781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2019-04-10,badge
071016781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2019-04-10,badge
071016781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2019-01-23,badge
071016781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Professional - Foundational Level,2018-09-07,badge
071016781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Retail Industry Jumpstart,2018-05-05,badge
071016781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-07-05,badge
070901781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-12-31,badge
070901781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-29,badge
070901781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-24,badge
070901781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-04-20,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Calculate Sales Results and Understand CMDW,2021-07-28,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-11-09,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-10-28,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2020-09-24,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-09-16,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Becoming User Centric,2020-07-10,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-06-29,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2020-04-02,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2020-04-02,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Kubernetes Service,2020-02-21,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-02-11,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2019-12-10,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2019-11-21,badge
001367781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-10-22,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Mentor,2021-12-08,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2021-09-13,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2021-09-09,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2021-06-04,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-12-23,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-05,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2019-06-29,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Application Programmer - PL/1 Programming - Expert,2018-10-10,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2018-09-17,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Application Programmer - Programming Tools,2018-08-24,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Professional - Foundational Level,2018-08-02,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-07-25,badge
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",ISTQB Certified Tester Foundation Level-Agile Tester (01 Nov 2018),,external certification
070890781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",ISTQB Certified Tester Foundation Level (01 Oct 2017),,external certification
108971781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2022-08-20,badge
108971781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Calculate Sales Results and Understand CMDW,2022-08-05,badge
108971781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2022-08-04,badge
108971781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2022-08-03,badge
108971781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2022-07-25,badge
108971781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-07-22,badge
108971781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2022-07-07,badge
108971781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-06-30,badge
001338781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Developer Profession - Level 1 Foundation,2022-01-18,badge
001338781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-11-12,badge
001338781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2020-10-23,badge
001338781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2020-10-21,badge
001338781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-10-13,badge
001338781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-10-10,badge
001338781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-10-01,badge
001338781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-09-24,badge
001338781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2020-09-24,badge
000134781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-12-18,badge
000134781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-05,badge
000134781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-20,badge
000134781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-01-15,badge
000134781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2020-01-13,badge
000134781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 2,2020-01-13,badge
000134781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2020-01-09,badge
000134781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2020-01-07,badge
000134781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-12-24,badge
104057781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2021-06-18,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",ISTQB® Certified Tester Foundation Level (CTFL),2022-10-30,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Methodologies,2022-01-29,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Application Programmer - PL/1 Programming - Expert,2021-10-01,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-09-28,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2020-10-22,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-09-24,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Calculate Sales Results and Understand CMDW,2021-05-11,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-11-09,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-10-10,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2020-09-30,badge
001404781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-09-26,badge
077403781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-12,badge
077403781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-07-08,badge
077403781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-31,badge
077403781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",z/OS Introduction Workshop,2019-05-13,badge
077403781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-05-09,badge
075879781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2020-01-27,badge
075879781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-01-12,badge
075879781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",App Modernization Basics,2020-01-30,badge
075879781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2022-11-04,badge
075879781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark Overview for Scala Analytics,2022-11-04,badge
075879781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2022-01-31,badge
075879781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-24,badge
075879781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-12-24,badge
075879781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-31,badge
075879781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-12-24,badge
080837781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-05,badge
080837781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2020-01-23,badge
080837781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2019-11-27,badge
080837781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2019-09-04,badge
080837781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-08-14,badge
001966781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2021-02-05,badge
001966781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2021-02-05,badge
001966781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2021-02-05,badge
001966781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-02-04,badge
001966781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2021-01-19,badge
001966781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2021-01-17,badge
001966781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2021-01-16,badge
001966781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-01-06,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Coach,2022-10-24,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Minded, Learning Agility, Time Management",2022-08-04,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2021-08-14,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Co-Creator,2021-04-28,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",PMI Agile Certified Practitioner (PMI-ACP)®,2020-12-09,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-07-11,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-07-02,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2020-05-27,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-05-17,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2020-02-26,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2020-02-18,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Earning Advocacy Practitioner,2018-09-06,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-09-04,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Achiever,2018-08-09,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2017-11-08,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Champion,2017-10-10,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-10-07,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2017-07-25,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-07-13,badge
000612781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Associate Project Manager,2016-10-21,badge
109322781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2022-11-23,badge
109322781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 2,2022-11-23,badge
109322781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2022-11-10,badge
109322781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2022-10-17,badge
109322781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2022-10-17,badge
109322781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-08-08,badge
108120781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-06-01,badge
108120781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2021-10-20,badge
108120781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2021-10-07,badge
108120781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-09-25,badge
001637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-03-15,badge
001637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-02-11,badge
001637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2021-01-01,badge
001637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2021-01-01,badge
001637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-11-04,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2022-04-28,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2021-10-05,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2021-09-22,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",App Modernization Basics,2021-08-13,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Containers & Kubernetes Essentials,2021-08-13,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2021-08-12,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Native Starter Level 1,2021-08-04,badge
